epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.8916,2.03818,3.09005,1.71828,0.24916,0.18382,0.16619,0.05338,2.3491,2.89959,1.93103,0.000297684,0.000297684,0.000297684
2,135.874,2.00016,2.98382,1.72273,0.25255,0.17289,0.13393,0.0434,2.37614,3.13283,1.98583,0.00057095,0.00057095,0.00057095
3,201.225,2.05746,2.86767,1.75355,0.16981,0.16183,0.11053,0.03722,2.37986,3.1479,2.05782,0.000814219,0.000814219,0.000814219
4,264.973,2.10773,2.88263,1.77175,0.22948,0.21671,0.11724,0.0457,2.39237,3.1743,2.09651,0.000774013,0.000774013,0.000774013
5,328.837,2.11666,2.79272,1.76577,0.44878,0.13318,0.13863,0.04115,2.40991,3.2745,1.99591,0.000729018,0.000729018,0.000729018
6,392.865,2.11103,2.73601,1.7678,0.21843,0.19862,0.16022,0.05197,2.34335,3.07853,2.07528,0.000684022,0.000684022,0.000684022
7,455.739,2.09874,2.63392,1.75733,0.27041,0.24746,0.2104,0.07734,2.37925,2.86276,2.01534,0.000639027,0.000639027,0.000639027
8,519.994,2.02352,2.47112,1.68022,0.28885,0.26944,0.20498,0.07069,2.34416,2.86928,1.94965,0.000594031,0.000594031,0.000594031
9,583.129,2.0096,2.4179,1.69536,0.27899,0.27145,0.20339,0.06589,2.35458,2.83501,1.99372,0.000549036,0.000549036,0.000549036
10,646.738,1.94914,2.33002,1.64264,0.32468,0.25999,0.20585,0.07679,2.34345,2.90862,1.95582,0.00050404,0.00050404,0.00050404
11,713.216,1.88824,2.15283,1.66094,0.25886,0.21691,0.19491,0.07067,2.32737,2.94851,2.001,0.000459045,0.000459045,0.000459045
12,774.904,1.85196,2.0344,1.6496,0.26112,0.25698,0.22917,0.08439,2.34629,2.79586,1.98917,0.000414049,0.000414049,0.000414049
13,836.39,1.79827,1.90847,1.61668,0.37476,0.28539,0.25228,0.08529,2.40343,2.63457,2.04633,0.000369054,0.000369054,0.000369054
14,897.504,1.78537,1.78744,1.57654,0.32528,0.29752,0.25132,0.08849,2.39082,2.72426,2.00084,0.000324058,0.000324058,0.000324058
15,957.577,1.69708,1.71479,1.53373,0.34474,0.26402,0.23453,0.08278,2.47156,2.80151,2.0518,0.000279063,0.000279063,0.000279063
16,1019.56,1.63613,1.6058,1.49282,0.35761,0.29573,0.25797,0.08979,2.453,2.80727,2.03814,0.000234068,0.000234068,0.000234068
17,1080.4,1.62425,1.54423,1.47502,0.26624,0.31414,0.22277,0.07764,2.4955,2.82196,2.08183,0.000189072,0.000189072,0.000189072
18,1141.29,1.55982,1.4746,1.42681,0.33884,0.31545,0.25323,0.08667,2.47285,2.89943,2.08387,0.000144077,0.000144077,0.000144077
19,1201.04,1.52427,1.41505,1.4101,0.34739,0.28807,0.24047,0.08371,2.4912,2.92474,2.07785,9.9081e-05,9.9081e-05,9.9081e-05
20,1262.34,1.49625,1.36252,1.38445,0.32972,0.32933,0.25091,0.08788,2.49322,2.79688,2.08614,5.40855e-05,5.40855e-05,5.40855e-05
